Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
4.50000000E+1	-3.18992988E+1	
4.55000000E+1	-3.22625330E+1	
4.60000000E+1	-3.27050129E+1	
4.65000000E+1	-3.31939804E+1	
4.70000000E+1	-3.36894274E+1	
4.75000000E+1	-3.41469373E+1	
4.80000000E+1	-3.45250764E+1	
4.85000000E+1	-3.47960508E+1	
4.90000000E+1	-3.49544715E+1	
4.95000000E+1	-3.50183575E+1	
5.00000000E+1	-3.50215587E+1	
5.05000000E+1	-3.50027176E+1	
5.10000000E+1	-3.49965462E+1	
5.15000000E+1	-3.50295938E+1	
5.20000000E+1	-3.51195138E+1	
5.25000000E+1	-3.52759814E+1	
5.30000000E+1	-3.55019058E+1	
5.35000000E+1	-3.57942816E+1	
5.40000000E+1	-3.61445040E+1	
5.45000000E+1	-3.65382647E+1	
5.50000000E+1	-3.69553905E+1	
5.55000000E+1	-3.73702544E+1	
5.60000000E+1	-3.77535974E+1	
5.65000000E+1	-3.80764344E+1	
5.70000000E+1	-3.83157759E+1	
5.75000000E+1	-3.84603361E+1	
5.80000000E+1	-3.85134690E+1	
5.85000000E+1	-3.84916575E+1	
5.90000000E+1	-3.84194660E+1	
5.95000000E+1	-3.83236320E+1	
6.00000000E+1	-3.82285983E+1	
6.05000000E+1	-3.81542648E+1	
6.10000000E+1	-3.81155347E+1	
6.15000000E+1	-3.81228676E+1	
6.20000000E+1	-3.81831976E+1	
6.25000000E+1	-3.83008496E+1	
6.30000000E+1	-3.84783024E+1	
6.35000000E+1	-3.87167612E+1	
6.40000000E+1	-3.90165533E+1	
6.45000000E+1	-3.93773751E+1	
6.50000000E+1	-3.97984127E+1	
6.55000000E+1	-4.02783487E+1	
6.60000000E+1	-4.08152558E+1	
6.65000000E+1	-4.14063627E+1	
6.70000000E+1	-4.20476670E+1	
6.75000000E+1	-4.27333610E+1	
6.80000000E+1	-4.34550427E+1	
6.85000000E+1	-4.42007247E+1	
6.90000000E+1	-4.49537620E+1	
6.95000000E+1	-4.56920347E+1	
7.00000000E+1	-4.63880424E+1	
7.05000000E+1	-4.70108274E+1	
7.10000000E+1	-4.75304163E+1	
7.15000000E+1	-4.79242729E+1	
7.20000000E+1	-4.81833972E+1	
7.25000000E+1	-4.83148430E+1	
7.30000000E+1	-4.83391148E+1	
7.35000000E+1	-4.82840297E+1	
7.40000000E+1	-4.81782739E+1	
7.45000000E+1	-4.80469944E+1	
7.50000000E+1	-4.79099047E+1	
7.55000000E+1	-4.77812051E+1	
7.60000000E+1	-4.76704043E+1	
7.65000000E+1	-4.75833895E+1	
7.70000000E+1	-4.75234172E+1	
7.75000000E+1	-4.74919067E+1	
7.80000000E+1	-4.74890281E+1	
7.85000000E+1	-4.75141188E+1	
7.90000000E+1	-4.75659680E+1	
7.95000000E+1	-4.76430057E+1	
8.00000000E+1	-4.77434246E+1	
8.05000000E+1	-4.78652548E+1	
8.10000000E+1	-4.80064060E+1	
8.15000000E+1	-4.81646876E+1	
8.20000000E+1	-4.83378124E+1	
8.25000000E+1	-4.85233914E+1	
8.30000000E+1	-4.87189206E+1	
8.35000000E+1	-4.89217652E+1	
8.40000000E+1	-4.91291442E+1	
8.45000000E+1	-4.93381176E+1	
8.50000000E+1	-4.95455813E+1	
8.55000000E+1	-4.97482734E+1	
8.60000000E+1	-4.99427969E+1	
8.65000000E+1	-5.01256621E+1	
8.70000000E+1	-5.02933537E+1	
8.75000000E+1	-5.04424236E+1	
8.80000000E+1	-5.05696064E+1	
8.85000000E+1	-5.06719544E+1	
8.90000000E+1	-5.07469791E+1	
8.95000000E+1	-5.07927866E+1	
9.00000000E+1	-1.00000000E+3	
