Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-1.40000000E+1	7.27971661E+0	
-1.35000000E+1	7.34475366E+0	
-1.30000000E+1	7.54735923E+0	
-1.25000000E+1	7.95324647E+0	
-1.20000000E+1	8.55908692E+0	
-1.15000000E+1	9.29232541E+0	
-1.10000000E+1	1.00511187E+1	
-1.05000000E+1	1.07443106E+1	
-1.00000000E+1	1.13084132E+1	
-9.50000000E+0	1.17085895E+1	
-9.00000000E+0	1.19375730E+1	
-8.50000000E+0	1.20217619E+1	
-8.00000000E+0	1.20386997E+1	
-7.50000000E+0	1.21384888E+1	
-7.00000000E+0	1.25289367E+1	
-6.50000000E+0	1.33678648E+1	
-6.00000000E+0	1.46307827E+1	
-5.50000000E+0	1.61369228E+1	
-5.00000000E+0	1.76926833E+1	
-4.50000000E+0	1.91715303E+1	
-4.00000000E+0	2.05108920E+1	
-3.50000000E+0	2.16864455E+1	
-3.00000000E+0	2.26925661E+1	
-2.50000000E+0	2.35315770E+1	
-2.00000000E+0	2.42085178E+1	
-1.50000000E+0	2.47287441E+1	
-1.00000000E+0	2.50968737E+1	
-5.00000000E-1	2.53163498E+1	
0.00000000E+0	2.53892737E+1	
5.00000000E-1	2.53163498E+1	
1.00000000E+0	2.50968737E+1	
1.50000000E+0	2.47287441E+1	
2.00000000E+0	2.42085178E+1	
2.50000000E+0	2.35315770E+1	
3.00000000E+0	2.26925661E+1	
3.50000000E+0	2.16864455E+1	
4.00000000E+0	2.05108920E+1	
4.50000000E+0	1.91715303E+1	
5.00000000E+0	1.76926833E+1	
5.50000000E+0	1.61369228E+1	
6.00000000E+0	1.46307827E+1	
6.50000000E+0	1.33678648E+1	
7.00000000E+0	1.25289367E+1	
7.50000000E+0	1.21384888E+1	
8.00000000E+0	1.20386997E+1	
8.50000000E+0	1.20217619E+1	
9.00000000E+0	1.19375730E+1	
9.50000000E+0	1.17085895E+1	
1.00000000E+1	1.13084132E+1	
1.05000000E+1	1.07443106E+1	
1.10000000E+1	1.00511187E+1	
1.15000000E+1	9.29232541E+0	
1.20000000E+1	8.55908692E+0	
1.25000000E+1	7.95324647E+0	
1.30000000E+1	7.54735923E+0	
1.35000000E+1	7.34475366E+0	
1.40000000E+1	7.27971661E+0	
1.45000000E+1	7.25794366E+0	
1.50000000E+1	7.19717655E+0	
1.55000000E+1	7.04460675E+0	
1.60000000E+1	6.77729349E+0	
1.65000000E+1	6.39790379E+0	
1.70000000E+1	5.93164430E+0	
1.75000000E+1	5.42412774E+0	
1.80000000E+1	4.93605745E+0	
1.85000000E+1	4.52958837E+0	
1.90000000E+1	4.24659560E+0	
1.95000000E+1	4.09034727E+0	
2.00000000E+1	4.02537607E+0	
2.05000000E+1	3.99569850E+0	
2.10000000E+1	3.94659864E+0	
2.15000000E+1	3.83806331E+0	
2.20000000E+1	3.64905197E+0	
2.25000000E+1	3.37706561E+0	
2.30000000E+1	3.03649375E+0	
2.35000000E+1	2.65649888E+0	
2.40000000E+1	2.27703305E+0	
2.45000000E+1	1.94089210E+0	
2.50000000E+1	1.68168459E+0	
2.55000000E+1	1.51210501E+0	
2.60000000E+1	1.41962216E+0	
2.65000000E+1	1.37266562E+0	
2.70000000E+1	1.33283522E+0	
2.75000000E+1	1.26599024E+0	
2.80000000E+1	1.14858744E+0	
2.85000000E+1	9.69794414E-1	
2.90000000E+1	7.31326675E-1	
2.95000000E+1	4.46314287E-1	
3.00000000E+1	1.37336359E-1	
3.05000000E+1	-1.67065235E-1	
3.10000000E+1	-4.38054019E-1	
3.15000000E+1	-6.53775559E-1	
3.20000000E+1	-8.05745622E-1	
3.25000000E+1	-9.01117298E-1	
3.30000000E+1	-9.59536502E-1	
3.35000000E+1	-1.00650113E+0	
3.40000000E+1	-1.06658287E+0	
3.45000000E+1	-1.15875238E+0	
3.50000000E+1	-1.29415020E+0	
3.55000000E+1	-1.47558364E+0	
3.60000000E+1	-1.69797418E+0	
3.65000000E+1	-1.94939934E+0	
3.70000000E+1	-2.21280345E+0	
3.75000000E+1	-2.46863590E+0	
3.80000000E+1	-2.69845393E+0	
3.85000000E+1	-2.88890660E+0	
3.90000000E+1	-3.03486011E+0	
3.95000000E+1	-3.14037926E+0	
4.00000000E+1	-3.21714551E+0	
4.05000000E+1	-3.28110367E+0	
4.10000000E+1	-3.34874886E+0	
4.15000000E+1	-3.43418102E+0	
4.20000000E+1	-3.54734045E+0	
4.25000000E+1	-3.69328055E+0	
4.30000000E+1	-3.87213982E+0	
4.35000000E+1	-4.07954275E+0	
4.40000000E+1	-4.30731753E+0	
4.45000000E+1	-4.54454865E+0	
4.50000000E+1	-4.77901781E+0	
4.55000000E+1	-4.99899717E+0	
4.60000000E+1	-5.19516571E+0	
4.65000000E+1	-5.36222245E+0	
4.70000000E+1	-5.49972611E+0	
4.75000000E+1	-5.61189436E+0	
4.80000000E+1	-5.70646473E+0	
4.85000000E+1	-5.79303221E+0	
4.90000000E+1	-5.88136323E+0	
4.95000000E+1	-5.98004810E+0	
5.00000000E+1	-6.09563362E+0	
5.05000000E+1	-6.23220270E+0	
5.10000000E+1	-6.39129030E+0	
5.15000000E+1	-6.57202301E+0	
5.20000000E+1	-6.77140688E+0	
5.25000000E+1	-6.98472867E+0	
5.30000000E+1	-7.20606307E+0	
5.35000000E+1	-7.42888283E+0	
5.40000000E+1	-7.64674924E+0	
5.45000000E+1	-7.85402450E+0	
5.50000000E+1	-8.04651090E+0	
5.55000000E+1	-8.22190595E+0	
5.60000000E+1	-8.37998459E+0	
5.65000000E+1	-8.52247762E+0	
5.70000000E+1	-8.65268879E+0	
5.75000000E+1	-8.77494972E+0	
5.80000000E+1	-8.89403174E+0	
5.85000000E+1	-9.01461611E+0	
5.90000000E+1	-9.14088390E+0	
5.95000000E+1	-9.27624591E+0	
6.00000000E+1	-9.42320168E+0	
6.05000000E+1	-9.58330204E+0	
6.10000000E+1	-9.75718565E+0	
6.15000000E+1	-9.94466452E+0	
6.20000000E+1	-1.01448402E+1	
6.25000000E+1	-1.03562381E+1	
6.30000000E+1	-1.05769538E+1	
6.35000000E+1	-1.08048045E+1	
6.40000000E+1	-1.10374839E+1	
6.45000000E+1	-1.12727132E+1	
6.50000000E+1	-1.15083832E+1	
6.55000000E+1	-1.17426783E+1	
6.60000000E+1	-1.19741758E+1	
6.65000000E+1	-1.22019122E+1	
6.70000000E+1	-1.24254129E+1	
6.75000000E+1	-1.26446851E+1	
6.80000000E+1	-1.28601773E+1	
6.85000000E+1	-1.30727129E+1	
6.90000000E+1	-1.32834070E+1	
6.95000000E+1	-1.34935773E+1	
7.00000000E+1	-1.37046563E+1	
7.05000000E+1	-1.39181147E+1	
7.10000000E+1	-1.41353971E+1	
7.15000000E+1	-1.43578746E+1	
7.20000000E+1	-1.45868131E+1	
7.25000000E+1	-1.48233563E+1	
7.30000000E+1	-1.50685214E+1	
7.35000000E+1	-1.53232040E+1	
7.40000000E+1	-1.55881915E+1	
7.45000000E+1	-1.58641815E+1	
7.50000000E+1	-1.61518035E+1	
7.55000000E+1	-1.64516437E+1	
7.60000000E+1	-1.67642705E+1	
7.65000000E+1	-1.70902614E+1	
7.70000000E+1	-1.74302303E+1	
7.75000000E+1	-1.77848554E+1	
7.80000000E+1	-1.81549081E+1	
7.85000000E+1	-1.85412840E+1	
7.90000000E+1	-1.89450357E+1	
7.95000000E+1	-1.93674099E+1	
8.00000000E+1	-1.98098901E+1	
