Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-1.50000000E+1	-3.01287100E+1	
-1.45000000E+1	-2.68857616E+1	
-1.40000000E+1	-2.42443048E+1	
-1.35000000E+1	-2.20747379E+1	
-1.30000000E+1	-2.02957993E+1	
-1.25000000E+1	-1.88541366E+1	
-1.20000000E+1	-1.77128652E+1	
-1.15000000E+1	-1.68434890E+1	
-1.10000000E+1	-1.62176246E+1	
-1.05000000E+1	-1.57949528E+1	
-1.00000000E+1	-1.55034688E+1	
-9.50000000E+0	-1.52127165E+1	
-9.00000000E+0	-1.47236481E+1	
-8.50000000E+0	-1.38344237E+1	
-8.00000000E+0	-1.24839577E+1	
-7.50000000E+0	-1.08033407E+1	
-7.00000000E+0	-8.99529442E+0	
-6.50000000E+0	-7.21491401E+0	
-6.00000000E+0	-5.54625786E+0	
-5.50000000E+0	-4.02479555E+0	
-5.00000000E+0	-2.66059299E+0	
-4.50000000E+0	-1.45223969E+0	
-4.00000000E+0	-3.93857382E-1	
-3.50000000E+0	5.21645329E-1	
-3.00000000E+0	1.30114638E+0	
-2.50000000E+0	1.95073360E+0	
-2.00000000E+0	2.47551075E+0	
-1.50000000E+0	2.87956771E+0	
-1.00000000E+0	3.16601319E+0	
-5.00000000E-1	3.33702334E+0	
0.00000000E+0	3.39388484E+0	
5.00000000E-1	3.33702334E+0	
1.00000000E+0	3.16601319E+0	
1.50000000E+0	2.87956771E+0	
2.00000000E+0	2.47551075E+0	
2.50000000E+0	1.95073360E+0	
3.00000000E+0	1.30114638E+0	
3.50000000E+0	5.21645329E-1	
4.00000000E+0	-3.93857382E-1	
4.50000000E+0	-1.45223969E+0	
5.00000000E+0	-2.66059299E+0	
5.50000000E+0	-4.02479555E+0	
6.00000000E+0	-5.54625786E+0	
6.50000000E+0	-7.21491401E+0	
7.00000000E+0	-8.99529442E+0	
7.50000000E+0	-1.08033407E+1	
8.00000000E+0	-1.24839577E+1	
8.50000000E+0	-1.38344237E+1	
9.00000000E+0	-1.47236481E+1	
9.50000000E+0	-1.52127165E+1	
1.00000000E+1	-1.55034688E+1	
1.05000000E+1	-1.57949528E+1	
1.10000000E+1	-1.62176246E+1	
1.15000000E+1	-1.68434890E+1	
1.20000000E+1	-1.77128652E+1	
1.25000000E+1	-1.88541366E+1	
1.30000000E+1	-2.02957993E+1	
1.35000000E+1	-2.20747379E+1	
1.40000000E+1	-2.42443048E+1	
1.45000000E+1	-2.68857616E+1	
1.50000000E+1	-3.01287100E+1	
1.55000000E+1	-3.41932837E+1	
1.60000000E+1	-3.94894951E+1	
1.65000000E+1	-4.68789074E+1	
1.70000000E+1	-5.78287098E+1	
1.75000000E+1	-6.35844104E+1	
1.80000000E+1	-5.65001381E+1	
1.85000000E+1	-4.73213010E+1	
1.90000000E+1	-4.15369237E+1	
1.95000000E+1	-3.76103266E+1	
2.00000000E+1	-3.48053404E+1	
2.05000000E+1	-3.27642735E+1	
2.10000000E+1	-3.12908454E+1	
2.15000000E+1	-3.02675124E+1	
2.20000000E+1	-2.96195387E+1	
2.25000000E+1	-2.92972799E+1	
2.30000000E+1	-2.92662416E+1	
2.35000000E+1	-2.95003560E+1	
2.40000000E+1	-2.99758518E+1	
2.45000000E+1	-3.06634729E+1	
2.50000000E+1	-3.15166993E+1	
2.55000000E+1	-3.24549828E+1	
2.60000000E+1	-3.33491254E+1	
2.65000000E+1	-3.40354110E+1	
2.70000000E+1	-3.43890876E+1	
2.75000000E+1	-3.44140829E+1	
2.80000000E+1	-3.42384200E+1	
2.85000000E+1	-3.40216585E+1	
2.90000000E+1	-3.38855009E+1	
2.95000000E+1	-3.39028103E+1	
3.00000000E+1	-3.41126047E+1	
3.05000000E+1	-3.45359046E+1	
3.10000000E+1	-3.51861266E+1	
3.15000000E+1	-3.60749110E+1	
3.20000000E+1	-3.72150513E+1	
3.25000000E+1	-3.86212853E+1	
3.30000000E+1	-4.03082793E+1	
3.35000000E+1	-4.22825846E+1	
3.40000000E+1	-4.45202915E+1	
3.45000000E+1	-4.69164110E+1	
3.50000000E+1	-4.92152061E+1	
3.55000000E+1	-5.10630200E+1	
3.60000000E+1	-5.23614604E+1	
3.65000000E+1	-5.34708901E+1	
3.70000000E+1	-5.48477617E+1	
3.75000000E+1	-5.65241949E+1	
3.80000000E+1	-5.71351477E+1	
3.85000000E+1	-5.49567867E+1	
3.90000000E+1	-5.17216928E+1	
3.95000000E+1	-4.88755178E+1	
4.00000000E+1	-4.66017645E+1	
4.05000000E+1	-4.48145435E+1	
4.10000000E+1	-4.34190639E+1	
4.15000000E+1	-4.23433838E+1	
4.20000000E+1	-4.15352799E+1	
4.25000000E+1	-4.09562729E+1	
4.30000000E+1	-4.05769931E+1	
4.35000000E+1	-4.03738490E+1	
4.40000000E+1	-4.03265009E+1	
4.45000000E+1	-4.04157239E+1	
4.50000000E+1	-4.06213876E+1	
4.55000000E+1	-4.09204402E+1	
4.60000000E+1	-4.12850424E+1	
4.65000000E+1	-4.16814227E+1	
4.70000000E+1	-4.20705668E+1	
4.75000000E+1	-4.24120828E+1	
4.80000000E+1	-4.26716233E+1	
4.85000000E+1	-4.28296644E+1	
4.90000000E+1	-4.28870061E+1	
4.95000000E+1	-4.28633377E+1	
5.00000000E+1	-4.27897867E+1	
5.05000000E+1	-4.26999766E+1	
5.10000000E+1	-4.26235644E+1	
5.15000000E+1	-4.25833584E+1	
5.20000000E+1	-4.25950658E+1	
5.25000000E+1	-4.26682864E+1	
5.30000000E+1	-4.28077785E+1	
5.35000000E+1	-4.30145204E+1	
5.40000000E+1	-4.32864133E+1	
5.45000000E+1	-4.36186216E+1	
5.50000000E+1	-4.40036129E+1	
5.55000000E+1	-4.44309943E+1	
5.60000000E+1	-4.48872874E+1	
5.65000000E+1	-4.53558597E+1	
5.70000000E+1	-4.58173130E+1	
5.75000000E+1	-4.62506609E+1	
5.80000000E+1	-4.66354908E+1	
5.85000000E+1	-4.69549067E+1	
5.90000000E+1	-4.71984846E+1	
5.95000000E+1	-4.73641227E+1	
6.00000000E+1	-4.74579556E+1	
6.05000000E+1	-4.74923710E+1	
6.10000000E+1	-4.74830145E+1	
6.15000000E+1	-4.74458979E+1	
6.20000000E+1	-4.73953404E+1	
6.25000000E+1	-4.73429180E+1	
6.30000000E+1	-4.72972182E+1	
6.35000000E+1	-4.72640847E+1	
6.40000000E+1	-4.72470832E+1	
6.45000000E+1	-4.72480169E+1	
6.50000000E+1	-4.72674014E+1	
6.55000000E+1	-4.73048662E+1	
6.60000000E+1	-4.73594759E+1	
6.65000000E+1	-4.74299793E+1	
6.70000000E+1	-4.75149962E+1	
6.75000000E+1	-4.76131532E+1	
6.80000000E+1	-4.77231776E+1	
6.85000000E+1	-4.78439559E+1	
6.90000000E+1	-4.79745643E+1	
6.95000000E+1	-4.81142756E+1	
7.00000000E+1	-4.82625493E+1	
7.05000000E+1	-4.84190071E+1	
7.10000000E+1	-4.85834007E+1	
7.15000000E+1	-4.87555744E+1	
7.20000000E+1	-4.89354253E+1	
7.25000000E+1	-4.91228656E+1	
7.30000000E+1	-4.93177870E+1	
7.35000000E+1	-4.95200291E+1	
7.40000000E+1	-4.97293531E+1	
7.45000000E+1	-4.99454195E+1	
7.50000000E+1	-5.01677720E+1	
7.55000000E+1	-5.03958253E+1	
7.60000000E+1	-5.06288578E+1	
7.65000000E+1	-5.08660091E+1	
7.70000000E+1	-5.11062815E+1	
7.75000000E+1	-5.13485469E+1	
7.80000000E+1	-5.15915576E+1	
7.85000000E+1	-5.18339628E+1	
7.90000000E+1	-5.20743304E+1	
7.95000000E+1	-5.23111731E+1	
8.00000000E+1	-5.25429805E+1	
8.05000000E+1	-5.27682550E+1	
8.10000000E+1	-5.29855497E+1	
8.15000000E+1	-5.31935094E+1	
8.20000000E+1	-5.33909084E+1	
8.25000000E+1	-5.35766865E+1	
8.30000000E+1	-5.37499779E+1	
8.35000000E+1	-5.39101313E+1	
8.40000000E+1	-5.40567206E+1	
8.45000000E+1	-5.41895434E+1	
8.50000000E+1	-5.43086082E+1	
8.55000000E+1	-5.44141111E+1	
8.60000000E+1	-5.45064041E+1	
8.65000000E+1	-5.45859563E+1	
8.70000000E+1	-5.46533117E+1	
8.75000000E+1	-5.47090469E+1	
8.80000000E+1	-5.47537288E+1	
8.85000000E+1	-5.47878770E+1	
8.90000000E+1	-5.48119313E+1	
8.95000000E+1	-5.48262251E+1	
9.00000000E+1	-1.00000000E+3	
